Type,Question,Option1,Option2,Option3,Option4,Answer
Maths,468 + 237 = ?,695,705,715,725,705
Maths,804 − 389 = ?,415,425,435,445,415
Maths,36 × 7 = ?,242,252,262,272,252
Maths,96 ÷ 8 = ?,10,11,12,13,12
Maths,What is 3/5 of 40?,18,20,22,24,24
Maths,"If x + 27 = 84, what is x?",47,57,67,77,57
Maths,A rectangle perimeter is 30 cm. One side is 8 cm. What is the other side?,6,7,8,9,7
Maths,2.4 + 0.75 = ?,3.05,3.1,3.15,3.2,3.15
Maths,5.6 − 2.9 = ?,2.5,2.6,2.7,2.8,2.7
Maths,"Round 4,987 to the nearest hundred.","4,900","5,000","4,990","4,950","5,000"
Maths,A book costs £6.75. You buy 3 books and pay with £25. How much change?,£3.25,£4.75,£5.75,£2.75,£4.75
Maths,A train leaves at 09:35 and arrives at 11:12. Journey length?,1h 27m,1h 37m,1h 42m,1h 47m,1h 37m
Maths,15% of 200 = ?,25,30,35,40,30
Maths,"The average (mean) of 6, 8, 10, 12 = ?",8,9,10,11,9
Maths,Which is larger: 3/8 or 1/3?,03-Aug,01-Mar,Equal,Cannot tell,03-Aug
Maths,72 ÷ 6 = ?,10,11,12,13,12
Maths,7 × 9 = ?,56,61,63,72,63
Maths,"Find the missing number: 3, 6, 9, __, 15",10,11,12,13,12
Maths,What is 25% of 64?,12,14,16,18,16
Maths,Convert 2.5 hours into minutes.,120,130,140,150,150
Maths,The area of a rectangle is 48 cm². One side is 6 cm. The other side?,6,7,8,9,8
Maths,A packet has 24 sweets. You give away 1/3. How many left?,12,14,16,18,16
Maths,Write 0.75 as a fraction (simplest form).,  3/8 ,  1/3 ,Equal,Cannot tell, 3/8
Maths,"The difference between 1,005 and 987 is?",16,17,18,19,18
Maths,"If a = 4 and b = 7, find 3a + 2b.",26,29,32,34,26
Non-Verbal-Reasoning,"Sequence of shapes: circle, square, triangle, circle, square, __",triangle,circle,square,hexagon,triangle
Non-Verbal-Reasoning,"Rotation: A shape points up, then right, then down. What direction next?",left,up,right,down,left
Non-Verbal-Reasoning,"Mirror: If the letter 'L' is reflected in a vertical mirror, which looks correct?",┐,└,┘,┌,┐
Non-Verbal-Reasoning,"Odd one out: filled circle, empty circle, filled square, filled triangle",filled circle,empty circle,filled square,filled triangle,empty circle
Non-Verbal-Reasoning,"Size pattern: small, medium, large, small, medium, __",large,small,medium,extra large,large
Non-Verbal-Reasoning,"Shading alternates: shaded, unshaded, shaded, __",shaded,unshaded,half shaded,striped,unshaded
Non-Verbal-Reasoning,"Count sides: triangle, square, pentagon, __",hexagon,circle,octagon,heptagon,hexagon
Non-Verbal-Reasoning,"Which pair are reflections of each other: ▲ and ▲ mirrored, ◯ and ◯ mirrored, □ and □ mirrored, ▽ and ◯ mirrored",first pair,second pair,third pair,fourth pair,first pair
Non-Verbal-Reasoning,"Sequence of numbers mapped to shapes: circle=1, square=2, triangle=3. What is the sequence for triangle, circle, square?","3,1,2","1,2,3","2,3,1","3,2,1","3,1,2"
Non-Verbal-Reasoning,"Rotation by 90° clockwise each step: if step 1 points up, where does it point at step 3?",left,right,down,up,down
Non-Verbal-Reasoning,"Pattern: two small dots then one large dot, repeat. After 5 items what is next?",small dot,large dot,two small dots,medium dot,large dot
Non-Verbal-Reasoning,"Which completes the grid pattern: top-left filled, top-right empty, bottom-left empty, bottom-right __",filled,empty,half filled,striped,filled
Non-Verbal-Reasoning,"Odd one out: rotating square, reflecting square, shifting square, scaling square",rotating square,reflecting square,shifting square,scaling square,scaling square
Non-Verbal-Reasoning,"If a shape turns 180°, which of these is same as original?",circle,triangle,arrow shape,letter L,circle
Non-Verbal-Reasoning,"Which comes next in sequence of corners: 1, 2, 3, 4, __",5,6,1,4,5
Non-Verbal-Reasoning,Symmetry: which shape has vertical symmetry?,heart shape,letter A,letter K,letter F,letter A
Non-Verbal-Reasoning,"If patterns alternate between diagonal lines and horizontal lines, what follows diagonal, horizontal, diagonal, __",horizontal,diagonal,checker,blank,horizontal
Non-Verbal-Reasoning,Which figure is the mirror image of 'R' across a vertical axis?,a backward R,an upside-down R,same R,rotated R,a backward R
Non-Verbal-Reasoning,A net shows six squares in a cross. Which two faces are opposite when folded into a cube?,centre and opposite arm,adjacent arms,corner and centre,two adjacent arms,centre and opposite arm
Non-Verbal-Reasoning,Count number of triangles in a simple triangular arrangement of 4 small triangles forming a larger one.,4,5,3,1,4
Non-Verbal-Reasoning,Which shape does NOT belong if rule is 'exactly four equal sides'?,square,rhombus,rectangle,isosceles triangle,isosceles triangle
Non-Verbal-Reasoning,Rotation vs reflection: which transformation changes clockwise ordering but keeps overall orientation?,rotation,reflection,translation,scaling,reflection
Non-Verbal-Reasoning,"Pattern of arrows: →, ↓, ←, ↑, →, __",↓,←,↑,→,↓
Non-Verbal-Reasoning,"A 2×2 block alternates colours: black, white, black, white. After flipping horizontally what is top-left colour?",white,black,grey,unchanged,white
Non-Verbal-Reasoning,"Which two shapes will overlap exactly if one is rotated 90°: rectangle 2×4 and rectangle 4×2, square 3×3 and square 3×3, triangle and its mirror, circle and oval",first pair,second pair,third pair,fourth pair,first pair
Verbal Reasoning,"Find the odd one out: oak, pine, maple, stone",oak,pine,maple,stone,stone
Verbal Reasoning,Complete the analogy: hand is to glove as foot is to ____,sock,shoe,socke,mitt,shoe
Verbal Reasoning,"Letter sequence: What comes next? B, D, F, H, __",J,I,K,L,J
Verbal Reasoning,"Insert the pair of letters that fits both: CA( )ER, BA( )ET",T;N,R;T,T,CH,T
Verbal Reasoning,Rearrange the letters to make a word: RTAEHC,CATHER,CHATER,TEACHR,TEACHER,TEACHER
Verbal Reasoning,"Which two words are closest in meaning: brave, timid, valiant, meek, bold",brave and timid,valiant and meek,valiant and bold,timid and meek,valiant and bold
Verbal Reasoning,"Code: If CAT -> DBU (each letter +1), then DOG -> ____",EPH,COH,EPG,EPH,EPH
Verbal Reasoning,What is the 15th letter of the alphabet?,O,P,N,M,O
Verbal Reasoning,"How many 3-letter words can be formed from A,R,T without repeating letters?",3,6,9,12,6
Verbal Reasoning,Logic: All squares are rectangles. All rectangles are quadrilaterals. Are all squares quadrilaterals?,Yes,No,Only some,Cannot tell,Yes
Verbal Reasoning,Hidden word: Find the animal hidden in 'eaglE SOars',eagle,goat,seal,rat,eagle
Verbal Reasoning,Complete the compound: rain + ____ = a weather event,bow,coat,fall,storm,bow
Verbal Reasoning,"Which word does NOT belong: cotton, wool, silk, iron",cotton,wool,silk,iron,iron
Verbal Reasoning,Analogy: book is to reading as spoon is to ____,cooking,eating,stirring,writing,eating
Verbal Reasoning,Choose the best antonym for 'generous',stingy,kind,helpful,giving,stingy
Verbal Reasoning,"Find the missing number in pattern: 2, 6, 12, 20, __",30,24,28,36,30
Verbal Reasoning,Which rearranged pair makes a real word: LISTEN -> SILENT is an example; which pair below is similar: NIGHT -> ______,THING,GNHIT,INHTG,TGNIH,THING
Verbal Reasoning,"If every A is B and every B is C, then every A is C. This statement is:",TRUE,FALSE,Sometimes true,Cannot tell,TRUE
Verbal Reasoning,Choose the word that completes the simile: as quiet as a ____,mouse,lion,storm,ocean,mouse
Verbal Reasoning,"Which two words form an opposite pair: ascend, increase, descend, rise",ascend and descend,increase and rise,ascend and increase,rise and descend,ascend and descend
Verbal Reasoning,"Find the odd pair: (cat:kitten), (dog:puppy), (horse:foal), (sheep:calf)",cat:kitten,dog:puppy,horse:foal,sheep:calf,sheep:calf
Verbal Reasoning,"Complete the letter pair pattern: AB, CD, EF, __",GH,GI,HG,HJ,GH
Verbal Reasoning,Word ladder clue: Change one letter in 'COLD' to make a word meaning 'not new',OLD,COLD,CORD,BOLD,OLD
Verbal Reasoning,Find the best word to complete: He spoke very ____ so everyone understood.,clearly,clear,clearness,cleared,clearly
Verbal Reasoning,Analogy: piano is to musician as brush is to ____,painter,dancer,singer,actor,painter
Vocabulary,Choose the best synonym for 'abundant'.,scarce,plentiful,tiny,minimal,plentiful
Vocabulary,Choose the best synonym for 'elated'.,joyful,fearful,angry,uncertain,joyful
Vocabulary,Choose the best synonym for 'diligent'.,careless,thorough,lazy,clumsy,thorough
Vocabulary,Choose the best antonym for 'cautious'.,reckless,careful,swift,bold,reckless
Vocabulary,Choose the best synonym for 'adversity'.,ease,hardship,wealth,victory,hardship
Vocabulary,Choose the best antonym for 'expand'.,enlarge,grow,contract,extend,contract
Vocabulary,Choose the best antonym for 'hostile'.,friendly,angry,distant,icy,friendly
Vocabulary,Choose the best synonym for 'tranquil'.,peaceful,loud,calm,quiet,peaceful
Vocabulary,Choose the correct word: I can't ____ the invitation.,accept,except,accident,excerpt,accept
Vocabulary,Choose the correct word: The dog chased ____ tail.,its,it's,its',its's,its
Vocabulary,Pick the word that best completes the sentence: She was very ____ after winning the prize.,melancholy,ecstatic,lethargic,pensive,ecstatic
Vocabulary,Which word is closest in meaning to 'timid'?,bold,shy,brave,valiant,shy
Vocabulary,Which word is closest in meaning to 'gleaming'?,dull,shiny,murky,flat,shiny
Vocabulary,"Choose the correct plural form: one analysis, two ____.",analysises,analyses,analysis,analysi,analyses
Vocabulary,Which word is an antonym of 'optimistic'?,hopeful,pessimistic,positive,cheerful,pessimistic
Vocabulary,Choose the word that best completes: He gave a very ____ explanation that everyone understood.,vague,clear,obscure,muddled,clear
Vocabulary,Which of these words is spelled correctly?,accomodate,accommodate,acommodate,accommadate,accommodate
Vocabulary,Choose the best synonym for 'fragile'.,delicate,strong,sturdy,robust,delicate
Vocabulary,Choose the correct homophone: They will ____ the match if it rains.,postpone,post pon,postponee,post-pon,postpone
Vocabulary,Pick the best word: The children were ____ by the magician's trick.,astonished,annoyed,bored,frightened,astonished
Vocabulary,Choose the best antonym for 'scarce'.,rare,plentiful,limited,sparse,plentiful
Vocabulary,Which word fits: A ____ of geese flew overhead.,flock,bunch,group,collection,flock
Vocabulary,Choose the correct prefix to make the opposite of 'appear'.,re-,dis-,un-,mis-,dis-
Vocabulary,Which word means 'able to be trusted'?,reliable,fragile,fleeting,ambiguous,reliable
Vocabulary,Choose the best synonym for 'reluctant'.,eager,willing,hesitant,keen,hesitant
Maths,What is 15 × 12?,170,180,190,200,180
Maths,Simplify: 144 ÷ 12,10,11,12,13,12
Maths,What is 7.5 × 4?,28,30,32,35,30
Maths,"If 5x = 45, what is x?",8,9,10,11,9
Maths,What is 3/4 of 80?,50,55,60,65,60
Maths,Calculate: 15% of 300,35,40,45,50,45
Maths,A triangle has base 10cm and height 8cm. What is its area?,30 cm²,35 cm²,40 cm²,45 cm²,40 cm²
Maths,"What is the next number: 5, 10, 20, 40, __?",60,70,80,90,80
Maths,Convert 3.25 hours to minutes.,180,185,190,195,195
Maths,What is 8² + 6²?,90,95,100,105,100
Maths,"If a = 6 and b = 8, what is a² + b²?",90,95,100,105,100
Maths,What is 0.6 as a percentage?,6%,60%,66%,600%,60%
Maths,A car travels 240 km in 3 hours. What is its speed?,60 km/h,70 km/h,80 km/h,90 km/h,80 km/h
